S.No.,Name of Indian Agent,Name of Manufacturer,Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
36,"M/s. Clairvoyance
Consulting, Flat No. 801,
8th Floor, Indra Prakash
Building, 21 Barakhamba
Road, New Delhi-110001","M/s. Spectranetics Corp.,
5055 Brandin Court Fremont,
CA USA 94538","Scoring Balloon Catheter /
AngioSculpt® PTCA Scoring
Balloon Catheter (137cm
length RX 0.014)",31-1660-MD/2015-DC,,MD-1660,13.10.2015,31.08.2018,,
36,"M/s. Fresenius Kabi India
Pvt. Ltd. A-3, MIDC,
warehouse-A, Ground &
First Floor, Ranjangaon
Ganpati, Tal Shirur, Dist.
Pune 412220","M/s. Fresenius Kabi AG
61346 Bad Homburg,
Germany
Having manufacturing
premises at
M/s. Clinico Medical Sp.
Z.o.o, Blonie k Wroclawia ul.
Roberta Kocha 1, 55-330
Blonie / Miekinia, Poland","1. Volumat Lines (Infusion set
VL ST00) / Infusion Set
2. Volumat Lines (Infusion
set VL ST02) / Infusion Set
3. Volumat Lines (Infusion
set VL ON 70) / Infusion Set
4. Volumat Lines (Infusion set
VL ON 90) / Infusion Set
5. Volumat Lines (Infusion set
VL PA 92) / Infusion Set
6. Volumat Lines (Infusion set
VL ON 42) / Infusion Set
7. Volumat Lines Tranfusion (
Transfusion Set VL TR 00) /
Transfusion Set",31-1558-MD/2014-DC,,MD-1558,13.10.2015,15.09.2018,,
36,"M/s. Emergo (India)
Consulting Private Limited,
H.No. 8/1 First Floor,
Vasavi Colony, Kakaguda,
Near picket,
Secunderabad, MCH
Circle-7 Mandal,
Hyderabad Dist. -500009","M/s. HansBiomed , 64,
Yuseong-Daero, 1628, Beon-
gil, Youseong--gu, Daejion,
Gwangyeogsi, Korea-305811","BellaGel / Silicone Gel-Filled
mammary Implant","31-1605-MD/2014-DC
(End. 01)",,MD-1605,13.10.2015,15.03.2018,,
36,"M/s. Apothecaries Pvt. Ltd.,
876 Udyog Vihar Phase V,","M/s. Hoya Corporation, 2-7-5,
Naka-Ochiai, Shinjuku-Ku,","1. Hoya-PS AF-1 (UY) PY-
60AD / Foldable Intra Ocular","31-701-MD/2009-DC
(Re Reg. 02)",,MD-701,13.10.2015,30.11.2018,,
,Gurgaon 122016,"Tokyo 161-8525, Japan
Having manufacturing
premises at
M/s. Hoya Meical Singapore
Pte, Ltd. 455A, Jalan Ahmad
639939 Singapore","Lens
2. Hoya-PS AF-1 (UV) PC-
60AD / Foldable Intra Ocular
Lens
3. Hoya iSert 250 / Foldable
Intra Ocular Lens
4. Hoya iSert 251 / Foldable
Intra Ocular Lens
5. Hoya-PS AF-1(UY) PY-
60R / Foldable Intra Ocular
Lens
6. HOYA-PS AF-1(UY) PC-
60R / Foldable Intra Ocular
Lens
7. HOYA iSert Toric (351T3,
351T4, 351T5, 351T6, 351T7,
351T8, 351T9) / Foldable
Intra Ocular Lens",,,,,,,
36,"M/s. Genetix Biotech Asia
Pvt. Ltd. 71/1, Shivaji Marg,
New Delhi-110015","M/s Oculus Innovative
Sceinces Inc., 1129 North
McDowell Blvd., Pataluma,
CA 94954, USA
Having manufacturing
premises at
M/s Oculus Technologies of
Mexico S.A de C.V Industria
Vidriera No.81,
Fraccionamiento Industrial
Zapopan, C.P. 45130,
Jalisco, Mexico","1. Microdacyn 60® /
Electrolysed Hydrogel
2. Microdacyn 60® Wound
care Electrolysed Solution",31-1722-MD/2015-DC,,MD-1722,15.10.2015,15.10.2018,,
36,"M/s. Smiths Medical India
Private Limited.,
508-509, A Wing, Western
Edge-II,
Western Express Highway,
Boriwali East, Mumbai,
Tal: Boriwali East (Mumbai
Zone7) Pin: 400066","M/s. Smiths Medical Czech
Republic, Olomoucka 306,
753 01, Hranice Czech
Republic, Europe","Wallace / Embryo
Replacement Catheters",31-1615-MD/2015-DC,,MD-1615,20.10.2015,30.09.2018,,
36,"M/s. Smiths Medical India
Private Limited.,
508-509, A Wing, Western
Edge-II,
Western Express Highway,
Boriwali East, Mumbai,
Tal: Boriwali East (Mumbai
Zone7) Pin: 400066","M/s. Smiths Medical
International Ltd Hythe, Kent
CT21 6JL, United Kingdom
Having manufacturing
premises at
M/s. Smiths Healthcare, SA
de CV Carretera Miguel
Aleman KM21.7 Parque
Industrial Monterrey,
Apodaca NL CP 66603
Mexico","1. Wallace / Embryo
Replacement Catheter
2. Wallace Sure / Embryo
Replacement Catheter
3. Wallace / Trial Transfer
Catheter
4. Wallace Sure View / Trial
Transfer Catheter
5. Wallace / Artificial
Insemination Catheter",31-1310-MD/2013-DC,,MD-1310,20.10.2015,30.09.2018,,
36,"M/s. Paul Hartmann
Medical Pvt. Ltd., Door No.
119, 120, First Floor, Trichy
Road, Ondipudur,
Coimbatore-641016,
Tamilnadu","M/s. Paul Harmann AG., Paul
Hartmann - Straβe 12, D-89522
Heidenheim, Germany","1. Atrauman AG / Wound
Dressing
2. HydroColl & HydroColl
Thin / Wound Dressing",31-1667-MD/2015-DC,,MD-1667,20.10.2015,15.09.2018,,
36,"M/s. Nobel Biocare India
Pvt. Ltd., CCI Logistics
Park, 2nd Floor Room No.
2, Administrative Builidng,
Kolkhe, Palaspa Phata Tal:
Panvel (Raigad),
Maharashtra-410206 India","M/s. Nobel Biocare AB,
P.O.Box No. 5190, SE-402
26, Vasrra Hamngatan 1, 411
17, Goteborg, Sweden
Having manufacturing
premises at
M/s. Nobel Biocare AB,
Dimbovagen 2, SE-691 51
Karlskoga, Sweden","1. Dental Implants (Titanium)
2. Abutments (Titanium)
3. Abutments (Plastic)
4. Abutments (Zirconia)
5. Dental Screw (Titanium)
6. Abutmetns (Gold)",31-1687-MD/2015-DC,,MD-1687,20.10.2015,30.09.2018,,
37,"M/s. Nobel Biocare India
Pvt. Ltd., CCI Logistics
Park, 2nd Floor Room No.
2, Administrative Builidng,
Kolkhe, Palaspa Phata Tal:
Panvel (Raigad),
Maharashtra-410206 India","M/s. Nobel Biocare AB,
P.O.Box No. 5190, SE-402
26, Vasrra Hamngatan 1, 411
17, Goteborg, Sweden
Having manufacturing
premises at M/s. Nobel
Biocare USA LLC, 22715,
Savi Ranch Parkway, Yorba
Linda, CA 92887 USA","1. Dental Implants (Titanium)
2. Abutments (Titanium)
3. Abutments (Plastic)
4. Abutments (Zirconia)
5. Dental Screw (Titanium)
6. Abutmetns (Gold)",31-1688-MD/2015-DC,,MD-1688,20.10.2015,30.09.2018,,
37,"M/s. MN Solutions, Shop
No. 26-27, 2nd Floor, Prop","M/s. Medimop Medical
Projects Limited, 17 Hatidhar","1. Vial Adapter
2. Vial adapter with filter",31-1567-MD/2014-DC,,MD-1567,20.10.2015,15.09.2018,,
,"No. WZ-26, Nangli Jalib
Village, Janak Puri, New
Delhi-110058","St., Ra'anana, Israel -
4366519",3. Mix2vial Transfer Device,,,,,,,
37,"M/s. Emergo (I) Consulting
Pvt. Ltd., 8/1, First Floor,
Vasavi Colony, Kakaguda,
Nera Picket Secundrabad,
MCH Circle-7 Mandal,
Hyderabad (Dist)-500009
(A.P.)","M/s. GraMedica, 16137
Leone Drive, Macomb, MI,
USA 48042","HyProCure Sinus Tarsi Stent
/ Sinus Tarsi Implant",31-1547-MD/2014-DC,,MD-1547,20.10.2015,30.09.2018,,
37,"M/s. Stryker India Private
Limited, Khewat No. 122,
Khata No. 157, Mustkil No.
98, Killa No. 6,7,8/1,13/1,
Vill. Bhondsi Distt. Gurgaon","M/s. MAKO Surgical
Corporation, 2555 Davie
Road, Fort Lauderdale,FL
33317, USA","1. Restoris® MCK Femoral
Component / Multi
Compartmental Knee System
2. Restoris® MCK Onlay
Tibial Baseplate / Multi
Compartmental Knee System
3. Restoris® MCK Onlay
Tibial Insert / Multi
Compartmental Knee System
4. Restoris® MCK
Patellofemoral Component/
Multi Compartmental Knee
System
5. Restoris® MCK Patella
Component / Multi
Compartmental Knee System",31-1581-MD/2014-DC,,MD-1581,20.10.2015,30.09.2018,,
37,"M/s. Equinox Sales India,
301C Poonam Chambers,
A Wing, Dr. Annie Besant
Road, Worli Mumbai-
400018","M/s Equinox medical
technolies B.V, De Stuwdam
25, 3815 KM, Amersfoort,
The Netherland","1. DentaI Implants (Titanium)
/ Myriad Plus, Myriad Smart,
Myriad Provi
2. Dental Implants (Titanium)
/ Myriad Connect, Myriad
Snap, Myriad Provi Snap
3. Dental Implants (Titanium-
Zirconium) / Myriad Connect;
Myriad Snap, Myriad Provi
Snap","31-603-MD/2009-DC
(Re reg 02)",,MD-603,06.11.2015,15.11.2018,,
37,"M/s. Span Healthcare
Private Limited, Columbus","M/s. Haemonetics
Corporation, 400 Wood Road,","1. Acrodose™ Plus System
with eBDS / Blooed Filter","31-1578-MD/2014-
DC (End. 04)",,MD-1578,09.11.2015,15.07.2018,,
,"Business Chambers, #17,
7th Temple Street, 15th
Cross Malleswaram,
Bangalore -560003","Braintree, MA, 01284, USA
Having manufacturing
premises at
M/s. Haemonetics
Manufacturing Inc., 1630
Industrial Park Street, Covina,
CA, 91722, USA","Systems
2. Acrodose™ Plus System /
Blooed Filter Systems",,,,,,,
37,"M/s. Fresenius Kabi India
Pvt. Ltd., A-3 MIDC,
warehouse - A, Ground &
First Floor, Ranjangaon
Ganpati Tal: Shirpur, Dist.
Pune - 412220","M/s. Fresenius Kabi AG
61346 Bad Homburg,
Germany
Having manufacturing
premises at
M/s. Fenwal International,
Inc., Carretera Sanchez Km
18.5: Parque Industrial Itabo:
Zona Franca Ind. De S.C.:
Haina, Dominican Republic","1. Apheresis Kit - Single
Needle
2. Apheresis Kit - Double
Needle
3. Apheresis Kit - Single
Needle with platelet additive
solution connector
4. Exchange Kit
5. Transfer Pack - Container
with luer adapter and no
outlet ports - 1000ml
6. Apheresis Kit - Double
Needle with platelet additive
solution connector",31-1616-MD/2015-DC,,MD-1616,09.11.2015,15.10.2018,,
37,"M/s. Cook India Medical
Devices Pvt. Ltd., 4/249 A,
rasim Enclave,
Poonamallee High Road,
Goparasanallur,
Kattupakkam, Chennai -
600056","M/s. William Cook Europ
APS, Sandet 6, 4632,
Bjaeverskov, Denmark","1. Endovascular Stent Graft /
Zenith TX2 Dissection
Endovascular Graft with Pro-
Form and the Z-Trak Plus
Introduction System
2. Endovascular Stent Graft /
Zenith Dessection
Endovascular Stent the Z-
Trak Plus Introduction
System","31-209-MD /2006-DC
(Re Reg. 2010) End.02",,MD-209,09.11.2015,31.03.2018,,
37,"M/s St Jude Medical India
Pvt. Ltd D. No 8-3--
168/B/1, Plot No. 18 & 19,
Laxmi Naga, Behind T. B.
Hospital MCH Circle-5
Mandal, Hyderabad Dist.","M/s Brivant Ltd.,_Parkmore
West Business Park, Galway,
Ireland
Ireland","1. Guidewire / CPS Courier
Guidewire","31-726-MD/2009-DC
(Re-Reg 02)",,MD-729,09.11.2015,31.01.2019,,
37,M/s. Span Healthcare,M/s. Haemonetics,1. BPF4 Post Process Filter,31-1578-MD/2014-DC,,MD-1578,09.11.2015,15.07.2018,,
,"Private Limited, Columbus
Business Chambers, #17,
7th Temple Street, 15th
Cross Malleswaram,
Bangalore -560003","Corporation, 400 Wood Road,
Braintree, MA, 01284, USA
Having manufacturing
premises at
M/s. Haemonetics
Manufacturing Inc., 1630
Industrial Park Street, Covina,
CA, 91722, USA","System for Red Cells / Blood
Filter Systems
2. Leucocyte Filter For
Plasma / Blood Filter System
3. PL Leucocyter Filter for
Platelets / Blood Filter
Systems
4. PL Leucocyter Filter For
Platelets / Blood Filter
Systems
5. RC Leucocyte Filter for
Blood / Blood Filter Systems",(End. 02),,,,,,
38,"M/s. Feron Life Sciences
Pvt. Ltd., B-1, adav Park,
Main Rohtak Road, Opp
Metro Pillar No. 436,
Nangloi, Delhi 110041","M/s. Scivision Biotech Inc.,
9th South 6th Road, K.E.P.Z.,
Kashsiung, Taiwan, R.O.C.","Facial Dermal Implant / Hya-
Dermis",31-1727-MD/2015-DC,,MD-1727,09.11.2015,15.09.2018,,
38,"M/s. St. Jude Medical India
Pvt. Ltd., D.O. 8-3-168/B/1,
Plot no 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circles-5
Mandal, Hyderabad","M/s. St. Jude Medical, 5050
Nathan Lane North,
Plymouth, MN 55442 USA","Ablation Catheter /
TactiCath™ Quartz Ablation
Catheter","31-1468-MD/2014-DC
(End.02)",,MD-1468,09.11.2015,30.04.2018,,
38,"M/s. Boston Scientific India
Pvt. Ltd., C-41 Ground
Floor, Okhla Industrial
Area, Phase-II, New Delhi-
110020","M/s. Boston Scientific
Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA
Having manufacturing
premises at
M/s. Boston Scientific
Corporation, 5905, Nathan
Lane, Plymouth, MN 55442
USA","1. Kinetix PTCA Guidewire /
Guidewire
2. Journey Guidewires/
Guidewires
3. Epic Self-Expanding Nitinol
Stent with delivery System/
Vascular Stent System
4. Adapt Monorail Carotid
Stent System / Carotid Artery
Stent
5. Fathom - 14 Steerable
Guidewire / Guidewires
6. Acuity Break-away
Coronary Guide Catheter /",31-1596-MD/2014-DC,,MD-1596,09.11.2015,31.10.2018,,
,,,Coronary Guide Catheter,,,,,,,
38,"M/s. Johnson & Johnson
Pvt. Ltd., J-1 Ground Floor,
Gala No 1 to 10, Shree
Arihant Complex, Reti
Bunder Road, Kalher,
Bhiwandi, Tal: Bhiwandi -
15, Maharashtra - 421302","M/s Biosense Webster, Inc.,
3333 Diamond Canyon
Road, Diamond Bar, CA
91765, USA
Having manufacturing
premises at
Mis. Biosense
Webster Inc., 15715 Arrow
Highway, Irwindale, CA
91706 USA","1. EZ Steer Catheter /
Electrophysiology
Bidirectional Catheter
2. EZ Steer ThermoCool
Catheter / Electrophysiology
Bidirectional Catheter
3. Halo XP Electrophysiology
Catheter / Electrophysiology
Catheter
4. Celsius FLTR Catheter /
Electrophysiology Catheter
5. DecaNav
Electrophysiology Catheter /
Electrophysiology Catheter
6. ThermoCool SmartTouch
SF Catheters / Navigation
Catheter
7. nMarQ Irrigated Cathters /
Electrophysiology Catheter","31-120-MD/2006-DC
(Re Reg. 02) (End. 01)",,MD-120,09.11.2015,15.07.2016,,
38,"M/s. Macopharma India
Transfusion Solutions Pvt.
Ltd.
DSM-006, DLF
Commercial Tower, Shivaji
Marg,
New Delhi-110015","M/s. Maco Productins, Rue
Lorthiois, 59420 Mouvaux,
France","1. Blood Platelets Storage
Solutions / Blood Bag",31-1682-MD/2015-DC,,MD-1682,09.11.2015,15.10.2018,,
38,"M/s. Johnson & Johnson
Pvt. Ltd., A-1/50, Room
No., 100 Shed Area,
G.I.D.C., Vapi, Tal: Pardi
(Valsad), Gujrat, India","M/s. DePuy Spine, Inc., 325
Paramount Drive, Raynham,
Massachusetts 02767, USA
Having manufacturing
premises at
M/s. DePuy Orthopaedics
Inc., 50 Scotland Boulevard,
Bridgewater, Massachusetts
02324, USA","1. Spinal Implant System-
Cage (Non-Sterile) / Bengal
2. Spine System (Non-Sterile)
/Expedium
3. Titanium Surgical Mesh
(Non-Sterile)
4. Spinal System (Non
Sterile) /Viper2
5.Spinal System (Non-Sterile)
/ Mose Miami",31-1686-MD/2015-DC,,MD-1686,09.11.2015,30.09.2018,,
38,M/s. OrbusNeich Medical,M/s. OrbushNeich Medical,Coronary Dilatation Catheter /,31-1493-MD/2014-DC,,MD-1493,19.11.2015,30.11.2017,,
,"(India) Pvt. Ltd., Office No.
8, S.F. (208) Plot No. 16,
Rishabh Corporate Tower,
Community Centre,
Karkardooma, Delhi-
110092","(Shenzhen) Co. Ltd., 1, Jinkui
Road, Fuitan Free Trade
Zone Shenzhen, 518038,
China",Sapphire™ II NC,(End. 01),,,,,,
38,"M/s Mn solutions, # 26 &
27, 11nd Floor, WZ 26
Nangli Jalib, B-1 Janak
Puri, New Delhi Delhi
110058","M/s Biocomposites Limited,
Keele Science Park, Keele,
Staffordshire, ST5 5NL,
United Kingdom","1. Biosteon Screw /
Reabsorbable Fixation
Device
2. Biosteon Cross Pin /
Reabsorbable Fixation
Device","31-1520-MD/2014-DC
(End. 01)",,MD-1520,20.11.2015,31.01.2018,,
38,"M/s. Becton Dickinson
India Pvt. Ltd., No.34,
Assisi Nagar, West
Thottam Madhavaram
Chennai-51","M/s. Becton Dickinson & Co.
Donore Road, Drogheda Co.
Louth, Ireland
Having manufacturing
premises at
M/s. Becton Dickinson, SA,
Carreteras Mequineza S/N,
22520, Frage (Huesca) Spain","BD Microlance 3 / Disposable
Hypodermic Needle (Sterile)","31-1241-MD/2012-DC
(Re. Reg. 01)",,MD-1241,20.11.2015,31.03.2019,,
38,"M/s. Becton Dickinson
India Pvt. Ltd., No. 34,
Assisi Nagar, West
Thottam, Madhavram,
Chennai – 51","M/s. Becton Dickinson
France SAS, BD Medical-
Pharmaceutical Systems,
11 rue Aristide Berges,
BP4, 38001 Le Pont-de-
Claix Cedex, France
Having manufacturing
premises at M/s. BD
Medical-Pharmaceutical
Systems (East), 920 East
19th Street, Columbus,
Nebraska 68601 USA","Prefiiable Glass Barrel
with needles/ (BD
Hypak™)","31-1225-MD/2012-DC
(Re. Reg. 01)",,MD-1225,24.11.2015,30.04.2019,,
39,"M/s. Smiths Medical India
Private Limited.,
508-509, A Wing, Western
Edge-II,","M/s. Smiths Medical Czech
Republic, Olomoucka 306,
753 01, Hranice Czech
Republic, Europe","1. Epidural Catheters / Portex
2. Epidural Minipack systems
and lockit pls catheter
Securement Device / Portex","31-1615-MD/2015-DC
(End. 01)",,MD-1615,07.12.2015,30.09.2018,,
,"Western Express Highway,
Boriwali East, Mumbai,
Tal: Boriwali East (Mumbai
Zone7) Pin: 400066",,"Epidural Minipack Systems
/Portex",,,,,,,
39,"M/s. Halyard Health India
Pvt. Ltd., Gat Nos., 178,
179 and 180, village -vadu,
Khurd, Taluka- Haveli
District- Pune 412207
Maharashtra, India","M/s. Halyard Health Inc.,
5405 Windward Parkway
Alpharetta GA 30004 USA
Having manufacturing
premises at
M/s.Avent S. de R.L. de C.V.,
Carretera International Salida
Norte No. 1053, Magdalena,
Sonora, Mexico CP 84160
USA","1. Percutaneous Endoscopic
Gastrostomy Tube / MIC
Percutaneous Endoscopic
Gastrostomy (PEG) Kit
2. Gastric Access Feeding
Tube / Gastrostomy Feeding
Tube
3. Gastric Access Feeding
Tube / MIC-KEY Gastrostomy
Feeding Tube, Low Profile
4. Jejunal Access Feeding
Tube / MIC Jejunostomy
Feeding Tube
5. Gastric Jejunal Access
Feeding Tube / MIC Gastric-
Jejunal Feeding Tube Kit
(Endoscopic/Radiological
Placement)
6. Enteral Deeding Accessory
/ MIC-KEY Continous Feed
Extension set;, MIC-KEY
Bolus Feed Extension set;
MIC-KEY Extension set
7. Stoma Measuring Device /
MIC-KEY Over the wire
Stoma Measuring Device
8. Dilator / Enteral Access
Dilation System
9. Gastrointestinal Anchor Set
/
10. Gastrostomy Tube / MIC-
KEY SF GAstrostomy Tube
Low Profile
11. Endotracheal Tube /
Halyard Microcuff Subglottic",31-1678-MD/2015-DC,,MD-1678,08.12.2015,30.11.2018,,
,,,Suctioning Endotracheal tube,,,,,,,
39,"M/s. Halyard Health India
Pvt. Ltd., Gat Nos., 178,
179 and 180, village -vadu,
Khurd, Taluka- Haveli
District- Pune 412207
Maharashtra, India","M/s. Halyard Health Inc.,
5405 Windward Parkway
Alpharetta GA 30004 USA
Having manufacturing
premises at
M/s. Unomedical Sdn Bhd,
Bakar Arang Industrail Estate,
Sungai Petani, Kedah
Malaysia 08000","1. Endotracheal Tube Adult /
Halyard Microcuff
2. Endotracheal Tube
Pediatric, Oral/Nasal Magill /
Halyard Microcuff
3. Endotracheal Tube
Pediatric, Oral Curved /
Halyard Microcuff",31-1669-MD/2015-DC,,MD-1669,08.12.2015,30.11.2018,,
39,"M/s. Biomet Orthopaedic
India Pvt. Ltd., 2301,
Shanti Estate, Ghansham
Estate, National Highway
No. 8. Aslai, Tal: Daskroi
(N.A.,) Ahmedabad-Gujarat","M/s Biomet Microfixation.,
1520 Tradeport Drive,
Jacksonville, FL, 32218, USA","Sternal Lock Blu System/
Sternal Fixation
Reconstructive implant ( Non-
sterile)","31-910-MD/2010-DC
(Re Reg. 01) (End. 01)",,MD-910,08.12.2015,28.02.2018,,
39,"M/s. Bensons Surgico, Indl
Space 51,43, 44, Plot
No.42, DLF Industrial Area
Najafgarh Road, Kirti
Nagar, New Delhi- 110015","M/s. Biodent Co. LTd., 446-7,
Noijo-Ri, Jori-Eup, Paju-City,
Gyeonggi-Do, Korea","Denject / Disposable Dental
Needle",31-1748-MD/2015-DC,,MD-1748,08.12.2015,30.11.2018,,
39,"M/s. Boston Scientific India
Pvt. Ltd., C-41 Ground
Floor, Okhla Industrial
Area, Phase-II, New Delhi-
110020","M/s. Boston Scientific
Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA
Having manufacturing
premises at
M/s. Boston Scientific
Corporation, 2546 First
Street, Propark, EI Coyol,
Alajuela, Costa Rica 20904","Imaging Catheter / OptiCross
40 MHz Coronary Imaging
Catheter","31-1569-MD/2014-DC
(End. 01)",,MD-1569,15.12.2015,30.06.2018,,
39,"M/s.Cook India Medical
Devices Private Limited,
4/249 A, Rashirp. Enclave
Poonamallee High Road,
Goparasanallur,
Kattupakkam, Chennai-
600 056","M/s. Cook Ireland Lt., O'
Halloran Road, Naional
Technology Park, Limerick,
Ireland","Zilver PTX / Drug Eluting
Peripheral Stent","31-358-MD/2007-DC Re
Reg. 02 (End. 01)",,MD-358,15.12.2015,31.05.2018,,
39,"M/s. Nobel Biocare India
Pvt. Ltd., CCI Logistics
Park, 2nd Floor Room No.
2, Administrative Builidng,
Kolkhe, Palaspa Phata Tal:
Panvel (Raigad),
Maharashtra-410206 India","M/s. Nobel Biocare AB,
P.O.Box No. 5190, SE-402
26, Vasrra Hamngatan 1, 411
17, Goteborg, Sweden
Having manufacturing
premises at
M/s. Nobel Biocare AB,
Dimbovagen 2, SE-691 51
Karlskoga, Sweden","Nobel Parallel CC / Dental
Implants (Titanium)","31-1687-MD/2015-DC
(End. 01)",,MD-1687,15.12.2015,30.09.2018,,
39,"M/s. Stryker India Pvt. Ltd.,
Khewat No. 122, Khata No.
157, Mustakli No. 98, Kila
NO. 6/7/8/1, 13/1, Village
Bhondsi, District Gurgaon
Tehsil Sohna, Haryana","M/s. Stryker Neurovascular,
47900 Bayside Parkway,
Fremont CA 94538 USA
Having manufacturing
premises at
M/s. Stryker Neurovascular,
Business and Technology
Park, Model Farm Road,
Cork, Ireland","Suprass Streamline Flow
Diverter","31-1382-MD/2013-DC
(End. 05)",,MD-1382,15.12.2015,30.04.2017,,
39,"M/s. Terumo India Pvt.
Ltd., 117/3D & 117/3C
(Part 1-C), Padmavathi
Gardens, Numbal,
Velapanchavadi Post,
Thiruverkadu, Chennai-77.","M/s. Terumo Corporation, 44-
1-2-chome, Hatagaya,
Shibuya-ku, Tokyo, 151-
0072, Japan
Having manufacturing
premises at
M/s. Kofu Factory of Teumo
Corporation, 1727-1,
Tsuijiarai, Showa-cho,
Nakaloma-gun, Yamanashi
Perfecture, Japan","1. Nanopass 34/ Disposable
Hypodermic Needles
2. Nanopass 32.5 /
Disposable Hypodermic
Needles","31-829-MD/2010-DC
(Re-Reg. 01) (End 01)",,MD-829,21.12.2015,30.09.2017,,
40,"M/s. KCI Medical India Pvt.
Ltd., No. 1007, 2nd Floor,
13th Main, HAL second
stage, Indranagar,
Bagnalore-560008,
Karnataka","M/s. Systagenix Wound
Management Limited,
Gargrave, North Yorkshire,
BD23 3RX, United Kingdom","1. Adaptic Non-Adhering
Dressing/ Wound Dressing
2. Tielle Hydropolymer
Adhesive Dressing / Wond
Dressing
3. Tielle Sacrum
Hydropolymer Adhesive
Dressing",31-1699-MD/2015-DC,,MD-1699,21.12.2015,15.12.2018,,
,,,"4.Tielle Xtra Non-Adhering
Hydropolyme Dressing /
wond dressing",,,,,,,
40,"M/s. Johnson & Johnson
Pvt. Ltd., A-1/50, Room
No., 100 Shed Area,
G.I.D.C., Vapi, Tal: Pardi
(Valsad), Gujrat, India","M/s. DePuy International
Limited, St. Anthony's Road,
Leeds, LS11 8DT, United
Kingdom
Having manufacturing
premises at
M/s. Johnson & Johnson
Medical (Suzhou) Ltd., 299,
Chang Yang Street, Suzhou
Industrial Park, Suzhou
Jiangsu 215126, China","1. C-Stems / Hip
Replacement System
2. Articul / eze / Hip
Replacement System","31-1149-MD/2012-DC
(Re. Reg. 01)",,MD-1149,21.12.2015,31.12.2018,,
40,"M/s. Johnson & Johnson
Pvt. Ltd., A-1/50, Room
No., 100 Shed Area,
G.I.D.C., Vapi, Tal: Pardi
(Valsad), Gujrat, India","M/s. DePuy International
Limited, St. Anthony's Road,
Leeds, LS11 8DT, United
Kingdom
Having manufacturing
premises at
M/s. Johnson & Johnson
Medical (Suzhou) Ltd., 299,
Chang Yang Street, Suzhou
Industrial Park, Suzhou
Jiangsu 215126, China","1. S-ROM/ Hip Replacement
System
2. Duraloc / Hip Replacement
System
3. Articul /eze / Hip
Replacement System","31-1088-MD/2012-DC
(Re. Reg. 01)",,MD-1088,21.12.2015,15.12.2018,,
